Media Asset,Category,Ticket ID,Incident ID,Incident Details,Description,Solution,Urgency,Impact
MediaServer50,Storage,TKT-1050,INC-5050,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Critical,Low
MediaServer51,Application,TKT-1051,INC-5051,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,High,High
MediaServer52,Security,TKT-1052,INC-5052,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Critical,Low
MediaServer53,Performance,TKT-1053,INC-5053,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Low,Low
MediaServer54,Database,TKT-1054,INC-5054,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,High,Medium
MediaServer55,Hardware,TKT-1055,INC-5055,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Medium,Low
MediaServer56,Network,TKT-1056,INC-5056,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,High,High
MediaServer57,Storage,TKT-1057,INC-5057,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Medium,Low
MediaServer58,Application,TKT-1058,INC-5058,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,High,Low
MediaServer59,Security,TKT-1059,INC-5059,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Low,Low
MediaServer60,Performance,TKT-1060,INC-5060,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,High,Low
MediaServer61,Database,TKT-1061,INC-5061,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,High,High
MediaServer62,Hardware,TKT-1062,INC-5062,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Critical,High
MediaServer63,Network,TKT-1063,INC-5063,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Critical,Low
MediaServer64,Storage,TKT-1064,INC-5064,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Low,Low
MediaServer65,Application,TKT-1065,INC-5065,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,High,High
MediaServer66,Security,TKT-1066,INC-5066,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,High,High
MediaServer67,Performance,TKT-1067,INC-5067,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Medium,Low
MediaServer68,Database,TKT-1068,INC-5068,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,High,Low
MediaServer69,Hardware,TKT-1069,INC-5069,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Low,Medium
MediaServer70,Network,TKT-1070,INC-5070,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Low,High
MediaServer71,Storage,TKT-1071,INC-5071,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Medium,High
MediaServer72,Application,TKT-1072,INC-5072,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,High,Low
MediaServer73,Security,TKT-1073,INC-5073,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Medium,Low
MediaServer74,Performance,TKT-1074,INC-5074,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Low,Low
MediaServer75,Database,TKT-1075,INC-5075,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,High,High
MediaServer76,Hardware,TKT-1076,INC-5076,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Low,Medium
MediaServer77,Network,TKT-1077,INC-5077,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Critical,High
MediaServer78,Storage,TKT-1078,INC-5078,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Medium,Low
MediaServer79,Application,TKT-1079,INC-5079,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,Medium,Medium
MediaServer80,Security,TKT-1080,INC-5080,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Medium,Low
MediaServer81,Performance,TKT-1081,INC-5081,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Critical,Medium
MediaServer82,Database,TKT-1082,INC-5082,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,Low,Low
MediaServer83,Hardware,TKT-1083,INC-5083,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Medium,Medium
MediaServer84,Network,TKT-1084,INC-5084,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Critical,Low
MediaServer85,Storage,TKT-1085,INC-5085,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Low,High
MediaServer86,Application,TKT-1086,INC-5086,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,Low,Medium
MediaServer87,Security,TKT-1087,INC-5087,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,High,High
MediaServer88,Performance,TKT-1088,INC-5088,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Low,High
MediaServer89,Database,TKT-1089,INC-5089,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,Medium,Low
MediaServer90,Hardware,TKT-1090,INC-5090,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Critical,High
MediaServer91,Network,TKT-1091,INC-5091,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Medium,Medium
MediaServer92,Storage,TKT-1092,INC-5092,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Low,Medium
MediaServer93,Application,TKT-1093,INC-5093,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,Low,Low
MediaServer94,Security,TKT-1094,INC-5094,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Low,Low
MediaServer95,Performance,TKT-1095,INC-5095,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Critical,Medium
MediaServer96,Database,TKT-1096,INC-5096,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,Medium,Medium
MediaServer97,Hardware,TKT-1097,INC-5097,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Low,Low
MediaServer98,Network,TKT-1098,INC-5098,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Critical,High
MediaServer99,Storage,TKT-1099,INC-5099,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,High,Low
MediaServer100,Application,TKT-1100,INC-5100,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,High,High
MediaServer101,Security,TKT-1101,INC-5101,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Critical,High
MediaServer102,Performance,TKT-1102,INC-5102,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Critical,Medium
MediaServer103,Database,TKT-1103,INC-5103,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,High,Medium
MediaServer104,Hardware,TKT-1104,INC-5104,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Critical,Low
MediaServer105,Network,TKT-1105,INC-5105,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Medium,Low
MediaServer106,Storage,TKT-1106,INC-5106,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,High,Low
MediaServer107,Application,TKT-1107,INC-5107,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,High,Medium
MediaServer108,Security,TKT-1108,INC-5108,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Medium,High
MediaServer109,Performance,TKT-1109,INC-5109,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Medium,Medium
MediaServer110,Database,TKT-1110,INC-5110,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,High,Low
MediaServer111,Hardware,TKT-1111,INC-5111,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Critical,Low
MediaServer112,Network,TKT-1112,INC-5112,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,High,Low
MediaServer113,Storage,TKT-1113,INC-5113,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Low,Low
MediaServer114,Application,TKT-1114,INC-5114,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,High,High
MediaServer115,Security,TKT-1115,INC-5115,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,High,Medium
MediaServer116,Performance,TKT-1116,INC-5116,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Low,Low
MediaServer117,Database,TKT-1117,INC-5117,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,Critical,Low
MediaServer118,Hardware,TKT-1118,INC-5118,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Critical,Low
MediaServer119,Network,TKT-1119,INC-5119,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,High,Low
MediaServer120,Storage,TKT-1120,INC-5120,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Low,Low
MediaServer121,Application,TKT-1121,INC-5121,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,Low,Medium
MediaServer122,Security,TKT-1122,INC-5122,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Critical,High
MediaServer123,Performance,TKT-1123,INC-5123,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Low,Low
MediaServer124,Database,TKT-1124,INC-5124,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,Medium,High
MediaServer125,Hardware,TKT-1125,INC-5125,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Critical,Medium
MediaServer126,Network,TKT-1126,INC-5126,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,High,Low
MediaServer127,Storage,TKT-1127,INC-5127,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,High,Medium
MediaServer128,Application,TKT-1128,INC-5128,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,Medium,High
MediaServer129,Security,TKT-1129,INC-5129,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Medium,Low
MediaServer130,Performance,TKT-1130,INC-5130,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,Medium,Low
MediaServer131,Database,TKT-1131,INC-5131,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,High,Medium
MediaServer132,Hardware,TKT-1132,INC-5132,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Critical,High
MediaServer133,Network,TKT-1133,INC-5133,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Medium,Low
MediaServer134,Storage,TKT-1134,INC-5134,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,High,High
MediaServer135,Application,TKT-1135,INC-5135,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,Medium,Medium
MediaServer136,Security,TKT-1136,INC-5136,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Critical,Low
MediaServer137,Performance,TKT-1137,INC-5137,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,High,High
MediaServer138,Database,TKT-1138,INC-5138,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,Critical,High
MediaServer139,Hardware,TKT-1139,INC-5139,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,Medium,Medium
MediaServer140,Network,TKT-1140,INC-5140,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,Critical,Low
MediaServer141,Storage,TKT-1141,INC-5141,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,Low,High
MediaServer142,Application,TKT-1142,INC-5142,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,Low,Medium
MediaServer143,Security,TKT-1143,INC-5143,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,Medium,Medium
MediaServer144,Performance,TKT-1144,INC-5144,Unauthorized Access Attempt,Multiple failed login attempts detected,Block IP and enforce multi-factor authentication,High,Low
MediaServer145,Database,TKT-1145,INC-5145,High CPU Usage,Processing service consuming excessive CPU,Optimize processing parameters and restart service,Medium,Low
MediaServer146,Hardware,TKT-1146,INC-5146,Database Timeout,Queries timing out during peak usage,Add indexes and optimize query performance,High,Low
MediaServer147,Network,TKT-1147,INC-5147,Streaming Failure,Video stream stopped responding for live broadcast,Restart streaming service and reset network interface,High,Low
MediaServer148,Storage,TKT-1148,INC-5148,Disk Space Alert,Storage exceeded threshold causing upload failures,Archive old media files and expand storage volume,High,Medium
MediaServer149,Application,TKT-1149,INC-5149,Slow Delivery,Media loading slowly due to cache miss,Refresh CDN cache and optimize media compression,Medium,Medium
MediaServer150,Security,TKT-1150,INC-5150,Encoding Crash,Encoder crashed during media conversion,Restart encoder service and update codec library,High,Low
